coverage_id,execution_id,linked_judgment_unit_ids,state_binding_ref,observation_requirement_refs,state_variable_id,state_variable_name,evidence_profile_ref,used_by_path_nodes,anchor_instance_id,anchor_instance_type,linked_input_ids,linked_evidence_ids,linked_gap_ids,observation_count,quantitative_count,counter_evidence_count,mapping_status,profile_minimum_met,profile_gap_reasons,coverage_status,evidence_gate_status,evidence_gate_reason,inference_allowed,allowed_04_output,scope_limit,notes
SVC-021,EXEC-MEM-CYCLE-20260707-1,JU-04,IR-SB-08,IR-OBS-08,end_market_demand_strength,终端需求强度,demand_orders,N-01|N-06,INST-IND-MEM,Industry,RI-15,EV-08,GAP-08,1,1,0,aligned,partial,缺部分产品实际需求与订单/交付验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-022,EXEC-MEM-CYCLE-20260707-1,,IR-SB-09,IR-OBS-09,end_market_demand_strength,终端需求强度,demand_orders,N-01|N-06,INST-P-HBM,Product,RI-18,EV-13,GAP-08,1,0,0,aligned,partial,缺部分产品实际需求与订单/交付验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-023,EXEC-MEM-CYCLE-20260707-1,JU-01|JU-03,IR-SB-09,IR-OBS-09,end_market_demand_strength,终端需求强度,demand_orders,N-01|N-06,INST-P-DRAM,Product,RI-30,EV-28,GAP-08,1,0,0,aligned,partial,无linked_input_ids|缺部分产品实际需求与订单/交付验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-024,EXEC-MEM-CYCLE-20260707-1,JU-04,IR-SB-09,IR-OBS-09,end_market_demand_strength,终端需求强度,demand_orders,N-01|N-06,INST-P-NAND,Product,RI-31,EV-29,GAP-08,1,0,0,aligned,partial,无linked_input_ids|缺部分产品实际需求与订单/交付验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-025,EXEC-MEM-CYCLE-20260707-1,,IR-SB-10,IR-OBS-10,order_visibility,订单能见度,demand_orders,N-02|N-06,INST-C-MU,Company,RI-03,EV-14,GAP-02,0,0,0,proxy,partial,缺交付验证与行业取消率,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-026,EXEC-MEM-CYCLE-20260707-1,JU-06,IR-SB-10,IR-OBS-10,order_visibility,订单能见度,demand_orders,N-02|N-06,INST-C-SS,Company,RI-32,EV-30,GAP-02,0,0,0,proxy,partial,无linked_input_ids|缺交付验证与行业取消率,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-027,EXEC-MEM-CYCLE-20260707-1,JU-06,IR-SB-10,IR-OBS-10,order_visibility,订单能见度,demand_orders,N-02|N-06,INST-C-SKH,Company,RI-33,EV-31,GAP-02,0,0,0,proxy,partial,无linked_input_ids|缺交付验证与行业取消率,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-028,EXEC-MEM-CYCLE-20260707-1,,IR-SB-11,IR-OBS-11,inventory_cycle_position,库存周期位置,inventory_cycle,N-02|N-06|N-07,INST-C-MU,Company,RI-04,EV-15,GAP-01,1,1,0,aligned,not_met,不足两个产业链层级|缺少连续时间序列|缺少终端需求对照,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-029,EXEC-MEM-CYCLE-20260707-1,,IR-SB-11,IR-OBS-11,inventory_cycle_position,库存周期位置,inventory_cycle,N-02|N-06|N-07,INST-C-SS,Company,RI-34,EV-32,GAP-01,1,1,0,proxy,not_met,无linked_input_ids|不足两个产业链层级|缺少连续时间序列|缺少终端需求对照,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-030,EXEC-MEM-CYCLE-20260707-1,JU-07,IR-SB-11,IR-OBS-11,inventory_cycle_position,库存周期位置,inventory_cycle,N-02|N-06|N-07,INST-C-SKH,Company,,,GAP-01,0,0,0,aligned,not_met,无linked_input_ids|不足两个产业链层级|缺少连续时间序列|缺少终端需求对照,missing,not_counted,无直接输入与证据；SK hynix公开库存与缓冲来源层级已尝试,blocked,blocked,不得由其他公司、产品或行业宽泛主张外推,不得由其他公司、产品或行业宽泛主张外推
SVC-031,EXEC-MEM-CYCLE-20260707-1,,IR-SB-12,IR-OBS-12,inventory_buffer_capacity,库存缓冲能力,inventory_cycle,N-02|N-03|N-04,INST-P-HBM,Product,RI-35,EV-33,GAP-09,0,0,0,proxy,not_met,无linked_input_ids|不足两个产业链层级|缺分产品可用性与缓冲时长,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-032,EXEC-MEM-CYCLE-20260707-1,,IR-SB-12,IR-OBS-12,inventory_buffer_capacity,库存缓冲能力,inventory_cycle,N-02|N-03|N-04,INST-P-DRAM,Product,RI-36,EV-34,GAP-09,1,0,0,proxy,not_met,不足两个产业链层级|缺分产品可用性与缓冲时长,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-033,EXEC-MEM-CYCLE-20260707-1,,IR-SB-12,IR-OBS-12,inventory_buffer_capacity,库存缓冲能力,inventory_cycle,N-02|N-03|N-04,INST-P-NAND,Product,RI-37,EV-35,GAP-09,1,0,0,aligned,not_met,无linked_input_ids|不足两个产业链层级|缺分产品可用性与缓冲时长,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-034,EXEC-MEM-CYCLE-20260707-1,JU-06,IR-SB-13,IR-OBS-13,inventory_buffer_capacity,库存缓冲能力,inventory_cycle,N-02|N-03|N-04,INST-C-MU,Company,RI-38,EV-36|EV-15,GAP-09,1,1,0,proxy,not_met,不足两个产业链层级|缺分产品可用性与缓冲时长,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-035,EXEC-MEM-CYCLE-20260707-1,JU-06,IR-SB-13,IR-OBS-13,inventory_buffer_capacity,库存缓冲能力,inventory_cycle,N-02|N-03|N-04,INST-C-SS,Company,RI-39,EV-37,GAP-09,1,1,0,proxy,not_met,无linked_input_ids|不足两个产业链层级|缺分产品可用性与缓冲时长,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-036,EXEC-MEM-CYCLE-20260707-1,JU-07,IR-SB-13,IR-OBS-13,inventory_buffer_capacity,库存缓冲能力,inventory_cycle,N-02|N-03|N-04,INST-C-SKH,Company,,,GAP-09,0,0,0,aligned,not_met,无linked_input_ids|不足两个产业链层级|缺分产品可用性与缓冲时长,missing,not_counted,无直接输入与证据；SK hynix公开库存与缓冲来源层级已尝试,blocked,blocked,不得由其他公司、产品或行业宽泛主张外推,不得由其他公司、产品或行业宽泛主张外推
SVC-037,EXEC-MEM-CYCLE-20260707-1,JU-06,IR-SB-14,IR-OBS-14,supply_availability,供给可得性,capacity_supply,N-03|N-05|N-07,INST-P-HBM,Product,RI-50,EV-48,GAP-10,1,0,0,proxy,partial,缺交期或利用率验证|库存或替代供应检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-038,EXEC-MEM-CYCLE-20260707-1,JU-06,IR-SB-14,IR-OBS-14,supply_availability,供给可得性,capacity_supply,N-03|N-05|N-07,INST-P-DRAM,Product,RI-40,EV-38,GAP-10,1,0,0,aligned,partial,无linked_input_ids|缺交期或利用率验证|库存或替代供应检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-039,EXEC-MEM-CYCLE-20260707-1,JU-06,IR-SB-14,IR-OBS-14,supply_availability,供给可得性,capacity_supply,N-03|N-05|N-07,INST-P-NAND,Product,RI-41,EV-39,GAP-10,1,0,0,proxy,partial,缺交期或利用率验证|库存或替代供应检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-040,EXEC-MEM-CYCLE-20260707-1,JU-01|JU-05|JU-07,IR-SB-15,IR-OBS-15,supply_availability,供给可得性,capacity_supply,N-03|N-05|N-07,INST-SEG-MEM,Segment,RI-11,EV-01,GAP-10,1,0,0,aligned,partial,缺交期或利用率验证|库存或替代供应检查不完整,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-041,EXEC-MEM-CYCLE-20260707-1,JU-04|JU-05|JU-07,IR-SB-16,IR-OBS-16,yield_maturity,良率成熟度,manufacturing_yield,N-05|N-07,INST-P-HBM,Product,RI-42,EV-40,GAP-04,1,0,0,proxy,partial,不足两个连续制造时点|缺量产规模|缺质量或客户验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-042,EXEC-MEM-CYCLE-20260707-1,JU-05|JU-07,IR-SB-16,IR-OBS-16,yield_maturity,良率成熟度,manufacturing_yield,N-05|N-07,INST-P-DRAM,Product,RI-43,EV-41,GAP-04,1,0,0,aligned,partial,无linked_input_ids|不足两个连续制造时点|缺量产规模|缺质量或客户验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-043,EXEC-MEM-CYCLE-20260707-1,,IR-SB-16,IR-OBS-16,yield_maturity,良率成熟度,manufacturing_yield,N-05|N-07,INST-P-NAND,Product,RI-44,EV-42,GAP-04,1,0,0,aligned,partial,无linked_input_ids|不足两个连续制造时点|缺量产规模|缺质量或客户验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-044,EXEC-MEM-CYCLE-20260707-1,,IR-SB-17,IR-OBS-17,yield_maturity,良率成熟度,manufacturing_yield,N-05|N-07,INST-F-MU-TONG,ManufacturingFacility,RI-45,EV-43,GAP-04,0,0,0,aligned,not_met,无linked_input_ids|不足两个连续制造时点|缺量产规模|缺质量或客户验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-045,EXEC-MEM-CYCLE-20260707-1,,IR-SB-17,IR-OBS-17,yield_maturity,良率成熟度,manufacturing_yield,N-05|N-07,INST-F-MU-SG,ManufacturingFacility,RI-46,EV-44,GAP-04,0,0,0,aligned,not_met,无linked_input_ids|不足两个连续制造时点|缺量产规模|缺质量或客户验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-046,EXEC-MEM-CYCLE-20260707-1,JU-03|JU-05,IR-SB-18,IR-OBS-18,pricing_power,定价与成本传导能力,pricing_economics,N-04|N-06|N-07,INST-P-HBM,Product,RI-47,EV-45,GAP-14,0,0,0,aligned,partial,无linked_input_ids|缺客户流失、份额、替代和合同机制验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-047,EXEC-MEM-CYCLE-20260707-1,JU-05,IR-SB-18,IR-OBS-18,pricing_power,定价与成本传导能力,pricing_economics,N-04|N-06|N-07,INST-P-DRAM,Product,RI-48,EV-46|EV-02,GAP-14,1,1,0,proxy,partial,缺客户流失、份额、替代和合同机制验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
SVC-048,EXEC-MEM-CYCLE-20260707-1,JU-05,IR-SB-18,IR-OBS-18,pricing_power,定价与成本传导能力,pricing_economics,N-04|N-06|N-07,INST-P-NAND,Product,RI-49,EV-47|EV-02,GAP-14,1,1,0,proxy,partial,缺客户流失、份额、替代和合同机制验证,partial,counted,输入、原子证据与可追溯来源闭环；允许directional使用,directional,directional_only,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full,03仅确认直接证据覆盖和使用上限；profile未完全满足时不得提升为full
