relation_id,execution_id,relation_type,source_evidence_id,target_evidence_id,relation_role,relation_scope,status,notes
REL-FC-EV-13,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-13,CL-EV-13,primary,,active,
REL-CS-EV-14,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-14,SRC-NAURA-2025,source,公司年报,active,
REL-FC-EV-14,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-14,CL-EV-14,primary,,active,
REL-CS-EV-15,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-15,SRC-AMEC-H1,source,公司半年报,active,
REL-FC-EV-15,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-15,CL-EV-15,primary,,active,
REL-CS-EV-16,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-16,SRC-PIOTECH-2025,source,公司年报,active,
REL-FC-EV-16,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-16,CL-EV-16,primary,,active,
REL-CS-EV-17,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-17,SRC-ACMR-2025,source,SEC年报,active,
REL-FC-EV-17,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-17,CL-EV-17,primary,,active,
REL-CS-EV-18,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-18,SRC-HWATSING-2025,source,公司年报,active,
REL-FC-EV-18,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-18,CL-EV-18,primary,,active,
REL-CS-EV-19,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-19,SRC-KINGSEMI-2025,source,公司年报,active,
REL-FC-EV-19,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-19,CL-EV-19,primary,,active,
REL-CS-EV-20,EXEC-USCTRL-CNSEMI-EQP-20260710-1,claimCitesSource,CL-EV-20,SRC-SSE-2025,source,上交所汇总,active,
REL-FC-EV-20,EXEC-USCTRL-CNSEMI-EQP-20260710-1,factSupportedByClaim,EV-20,CL-EV-20,primary,,active,
REL-AE-JU-01-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-01,EV-01,support,截至2026年7月,active,
REL-AE-JU-01-03,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-01,EV-03,support,截至2026年7月,active,
REL-AE-JU-01-07,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-01,EV-07,counter,截至2026年7月,active,
REL-AE-JU-02-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-02,EV-10,support,客户台数不足,active,
REL-AE-JU-02-15,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-02,EV-15,support,客户台数不足,active,
REL-AE-JU-02-16,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-02,EV-16,support,客户台数不足,active,
REL-AE-JU-02-19,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-02,EV-19,counter,客户台数不足,active,
REL-AE-JU-03-13,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-03,EV-13,support,样本不外推全行业,active,
REL-AE-JU-03-14,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-03,EV-14,support,样本不外推全行业,active,
REL-AE-JU-03-17,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-03,EV-17,counter,样本不外推全行业,active,
REL-AE-JU-03-19,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-03,EV-19,counter,样本不外推全行业,active,
REL-AE-JU-04-01,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-04,EV-01,support,未来规则与订单仍有不确定,active,
REL-AE-JU-04-10,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-04,EV-10,support,未来规则与订单仍有不确定,active,
REL-AE-JU-04-15,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-04,EV-15,support,未来规则与订单仍有不确定,active,
REL-AE-JU-04-17,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-04,EV-17,counter,未来规则与订单仍有不确定,active,
REL-AE-JU-04-19,EXEC-USCTRL-CNSEMI-EQP-20260710-1,assessmentEvaluatesEvidence,EA-JU-04,EV-19,counter,未来规则与订单仍有不确定,active,
