source_run_id,execution_id,source_id,source_name,source_group_id,independence_group_id,source_type,source_tier,source_status_at_run,recipe_id,access_mode,requested_at,retrieved_at,publication_time,business_time_start,business_time_end,source_locator,raw_artifact_ref,content_hash,retrieval_status,quality_status,directness,traceability,independence,time_relevance,scope_match,license_scope,notes
SR-011,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-SEMI-FORECAST,SEMI 2025年末设备预测,INDUSTRY,SEMI-FORECAST,industry_release,S2,active,R-DEMAND,public_web,2026-07-10T18:48:00+08:00,2026-07-10T18:49:00+08:00,2025-12-16,2025-01-01,2027-12-31,https://www.semi.org/en/semi-press-release/global-semiconductor-equipment-sales-projected-to-reach-a-record-of-156-billion-dollars-in-2027-semi-reports,web_page,not_captured,retrieved,high,direct,full,independent,high,high,public_link,全球1330 1450 1560亿美元
SR-012,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-HUAHONG-2025,华虹半导体2025年年报,FAB,HUAHONG,annual_report,S2,active,R-DEMAND,public_web,2026-07-10T18:50:00+08:00,2026-07-10T18:51:00+08:00,2026-03-26,2025-01-01,2025-12-31,https://www1.hkexnews.hk/listedco/listconews/sehk/2026/0326/2026032602730.pdf,annual_report,not_captured,retrieved,high,direct,full,independent,high,medium,public_link,利用率高于100%且Fab9爬坡
SR-013,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-SSE-2024,上交所2024设备公司汇总,DOMESTIC,SSE-2024,exchange_summary,S2,active,R-COMMERCIAL,public_web,2026-07-10T18:52:00+08:00,2026-07-10T18:53:00+08:00,2025-04-30,2024-01-01,2024-12-31,https://www.sse.com.cn/aboutus/mediacenter/hotandd/c/c_20250430_10778299.shtml,exchange_page,not_captured,retrieved,medium_high,direct,full,independent,medium,high,public_link,十余家出货超16000台
SR-014,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-NAURA-2025,北方华创2025年报,DOMESTIC,NAURA,annual_report,S2,active,R-COMMERCIAL,public_web,2026-07-10T18:52:00+08:00,2026-07-10T18:53:00+08:00,2026-04-18,2025-01-01,2025-12-31,https://static.cninfo.com.cn/finalpage/2026-04-18/1225122918.PDF,annual_report,not_captured,retrieved,high,direct,full,independent,high,high,public_link,营收393.53亿元同比30.85%
SR-015,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-AMEC-H1,中微公司2025半年报,DOMESTIC,AMEC,interim_report,S2,active,R-COMMERCIAL,public_web,2026-07-10T18:54:00+08:00,2026-07-10T18:55:00+08:00,2025-08-29,2025-01-01,2025-06-30,https://static.cninfo.com.cn/finalpage/2025-08-29/1224606011.PDF,interim_report,not_captured,retrieved,high,direct,full,independent,high,high,public_link,LPCVD和ALD获大批重复订单
SR-016,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-PIOTECH-2025,拓荆科技2025年报,DOMESTIC,PIOTECH,annual_report,S2,active,R-COMMERCIAL,public_web,2026-07-10T18:54:00+08:00,2026-07-10T18:55:00+08:00,2026-04-27,2025-01-01,2025-12-31,https://dataclouds.cninfo.com.cn/shgonggao/hsomarket/2026/20260427/7dbd17dd6d8d4e128760e3ba48ee2da8.PDF,annual_report,not_captured,retrieved,high,direct,full,independent,high,high,public_link,营收65.19亿元同比58.87%
SR-017,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-ACMR-2025,ACM Research 2025年报,DOMESTIC,ACMR,annual_report,S2,active,R-COMMERCIAL,public_web,2026-07-10T18:56:00+08:00,2026-07-10T18:57:00+08:00,2026-02-26,2025-01-01,2025-12-31,https://www.sec.gov/Archives/edgar/data/1680062/000162828026013231/acmr-20251231.htm,sec_filing,not_captured,retrieved,high,direct,full,independent,high,high,public_link,受限部件需客户再认证
SR-018,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-HWATSING-2025,华海清科2025年报,DOMESTIC,HWATSING,annual_report,S2,active,R-COMMERCIAL,public_web,2026-07-10T18:56:00+08:00,2026-07-10T18:57:00+08:00,2026-04-23,2025-01-01,2025-12-31,https://static.cninfo.com.cn/finalpage/2026-04-23/1225156951.PDF,annual_report,not_captured,retrieved,high,direct,full,independent,high,high,public_link,装备收入40.54亿元
SR-019,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-KINGSEMI-2025,芯源微2025年报,DOMESTIC,KINGSEMI,annual_report,S2,active,R-COMMERCIAL,public_web,2026-07-10T18:58:00+08:00,2026-07-10T18:59:00+08:00,2026-04-18,2025-01-01,2025-12-31,http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-04-18/688037_20260418_V5LA.pdf,annual_report,not_captured,retrieved,high,direct,full,independent,high,high,public_link,营收增长11.11%净利下降64.64%
SR-020,EXEC-USCTRL-CNSEMI-EQP-20260710-1,SRC-SSE-2025,上交所2025集成电路企业汇总,DOMESTIC,SSE-2025,exchange_summary,S2,active,R-COMMERCIAL,public_web,2026-07-10T18:58:00+08:00,2026-07-10T18:59:00+08:00,2026-03-23,2025-01-01,2025-12-31,https://www.sse.com.cn/cpc/cpctheme/4th20thcpc/4th20thcpcgcxx/c/c_20260413_10815020.shtml,exchange_page,not_captured,retrieved,medium_high,direct,full,independent,high,high,public_link,盛美上海营收67.86亿元同比20.80%
