attempt_id,execution_id,requirement_id,linked_judgment_unit_ids,path_id,node_id,recipe_id,source_id,source_tier,search_round,query_parameters,attempted_at,result_status,records_received,records_accepted,is_counter_evidence_search,failure_code,fallback_action,stopping_rule,stop_reason,notes
AT-11,EXEC-MEM-CYCLE-20260707-1,CER-01,,P-02,N-06,R-MEM-DEMAND/v0.1,SRC-11,informed_secondary,,2026 notebook shipments; memory cost; demand destruction,2026-07-07T14:51:00+08:00,success,5,4,true,,,终端反证已覆盖,终端反证已覆盖,预测而非订单取消实际值
AT-12,EXEC-MEM-CYCLE-20260707-1,ER-03|ER-06|CER-02,,P-02,N-05,R-MEM-CAPEX/v0.1,SRC-12,primary,,HBM4E samples; qualification; mass production,2026-07-07T14:51:00+08:00,success,4,3,true,,,样品里程碑已覆盖,样品里程碑已覆盖,样品不等同量产，停止外推
AT-13,EXEC-MEM-CYCLE-20260707-1,ER-04,,P-01,N-02,R-MEM-INVENTORY/v0.1,SRC-01|SRC-06|SRC-07,,,supplier channel customer inventory time series,2026-07-07T14:55:00+08:00,partial,4,2,false,INSUFFICIENT_PUBLIC_DATA,保留原厂库存与行业定性描述并降级,首选、交叉和替代公开来源均未提供完整两层定量序列,首选、交叉和替代公开来源均未提供完整两层定量序列,ER-04=partial
AT-14,EXEC-MEM-CYCLE-20260707-1,ER-01|ER-03|ER-05|ER-06,,P-01|P-02,N-01|N-03|N-04|N-05|N-07,R-MEM-YIELD/v0.2,SRC-13,primary,,FY2026 Q1; 1-gamma; G9; yield; qualification; DRAM; NAND,2026-07-07T21:01:00+08:00,success,13,9,false,,,产品良率与客户认证代理已覆盖,产品良率与客户认证代理已覆盖,量产与良率主张分开；未外推设施级未来良率
AT-15,EXEC-MEM-CYCLE-20260707-1,ER-01|ER-02|ER-03|ER-04|ER-05|ER-06,,P-01|P-02,N-01|N-02|N-03|N-04|N-05|N-06|N-07,R-MEM-SUPPLY/v0.2,SRC-14,primary,,FY2026 Q2; server; supply; inventory; yield; facilities,2026-07-07T21:01:00+08:00,success,24,19,false,,,服务器、产品供给、库存时点、良率和设施阶段已覆盖,服务器、产品供给、库存时点、良率和设施阶段已覆盖,公司口径与行业交叉；预测仍标记为forecast
AT-16,EXEC-MEM-CYCLE-20260707-1,ER-03|ER-06,,P-02,N-03|N-05,R-MEM-YIELD/v0.2,SRC-15,primary,,HBM4; mass production; commercial shipment; stable yield,2026-07-07T21:02:00+08:00,success,6,4,false,,,HBM量产与稳定良率里程碑已覆盖,HBM量产与稳定良率里程碑已覆盖,公司公告未给跨批次良率百分比，profile保持partial
AT-17,EXEC-MEM-CYCLE-20260707-1,ER-02,,P-01|P-02,N-02|N-06,R-MEM-ORDERS/v0.2,SRC-16,primary,,Samsung AMD; HBM4 supply; DDR5; MOU,2026-07-07T21:02:00+08:00,success,5,3,false,,,Samsung订单能见度代理已覆盖,Samsung订单能见度代理已覆盖,MOU不是约束性采购合同
AT-18,EXEC-MEM-CYCLE-20260707-1,ER-04,,P-01,N-02|N-03|N-04,R-MEM-INVENTORY/v0.2,SRC-17,primary,,Samsung 1Q26 interim report; DS finished goods; WIP; inventory,2026-07-07T21:03:00+08:00,success,8,5,false,,,Samsung公司库存与缓冲代理已覆盖,Samsung公司库存与缓冲代理已覆盖,DS含非存储业务，范围为partially_matched
AT-19,EXEC-MEM-CYCLE-20260707-1,ER-03|ER-04|CER-01,,P-01|P-02,N-02|N-03|N-06|N-07,R-MEM-INVENTORY/v0.2,SRC-18,informed_secondary,,DRAM NAND supplier client inventory; capacity crowding,2026-07-07T21:04:00+08:00,success,7,5,true,,,DRAM/NAND多层库存方向得到独立交叉,DRAM/NAND多层库存方向得到独立交叉,公开摘要无完整库存天数，profile保持partial
AT-20,EXEC-MEM-CYCLE-20260707-1,ER-02|ER-03|ER-04|ER-06,,P-01,N-02|N-03,R-MEM-HBM/v0.2,SRC-19,informed_secondary,,HBM4 validation; supplier sufficiency; multi-source,2026-07-07T21:05:00+08:00,success,8,5,false,,,HBM供应不足、验证和缓冲代理已覆盖,HBM供应不足、验证和缓冲代理已覆盖,供给不足只作为库存与缓冲的代理，不生成库存天数
AT-21,EXEC-MEM-CYCLE-20260707-1,ER-04,,P-01,N-02|N-03|N-04,R-MEM-INVENTORY/v0.2,SRC-04|SRC-05,,,SK hynix inventory days; product usable inventory; buffer duration,2026-07-07T21:05:30+08:00,partial,2,0,false,INSUFFICIENT_PUBLIC_DATA,保留SK hynix经营与供给材料，不把收入或产能冒充库存,公开主源和交叉源未提供可用于本次锚点的库存位置或缓冲时长,公开主源和交叉源未提供可用于本次锚点的库存位置或缓冲时长,SVC-030与SVC-036保持not_counted；整体已达到95%门槛
